YEAR,TEAM NO,TEAM,SEED,ROUND,RPPF RATING RANK,RPPF RATING,NPB RATING RANK,NPB RATING,RADJ O RANK,RADJ O,RADJ D RANK,RADJ D,RADJ EM RANK,RADJ EM,R SOS RANK,R SOS,STROE RANK,STROE,STRDE RANK,STRDE,STRT+ RANK,STREM RANK,STREM
2023,999,Duke,5,32,19,0.8827,23,0.8998,1,126.1,94,100.7,,25.4,46,0.7217,69,84.26,42,88.51,27,17,-4.25
2023,998,Fairleigh Dickinson,16,32,304,0.4234,276,0.6205,5,119.6,74,96.9,,22.7,84,0.6838,136,78.08,357,119.97,342,310,-41.89
2023,997,Florida Atlantic,9,4,22,0.8732,12,0.9257,4,119.4,167,102.6,,16.8,109,0.6374,31,89.74,31,86.48,22,25,3.26
2023,996,Furman,13,32,92,0.7558,98,0.825,12,116.8,140,101.5,,15.3,118,0.608,30,89.78,172,100.75,123,90,-10.97
2023,995,Gonzaga,3,8,7,0.9396,11,0.9312,21,117.4,101,101.9,,15.5,115,0.6299,1,110.01,39,88.18,19,9,21.83
2023,994,Grand Canyon,14,64,110,0.7145,110,0.8016,8,120.8,162,103.5,,17.3,108,0.6376,81,83.17,237,106.07,171,108,-22.9
2023,993,Houston,1,16,1,0.9852,2,0.9807,33,112.6,133,100.9,,11.7,257,0.5345,23,90.8,1,52.34,1,1,38.46
2023,992,Howard,16,64,236,0.5254,223,0.682,32,111.6,140,101.1,,10.5,208,0.5556,161,76.4,151,99.31,185,214,-22.91
2023,991,Illinois,9,64,36,0.8394,47,0.8747,21,118.9,86,101.4,,17.5,84,0.7095,51,87.17,25,85.27,28,36,1.9
2023,990,Indiana,4,32,27,0.8517,44,0.878,45,113.1,49,97.1,,16,78,0.6717,27,90,43,88.61,33,33,1.39
2023,989,Iona,13,64,62,0.8016,52,0.8727,129,107.2,18,93.7,,13.5,79,0.681,67,84.69,55,90.73,63,75,-6.04
2023,988,Iowa,8,64,40,0.8349,51,0.8728,71,109.1,39,95,,14.1,97,0.6474,5,101.01,134,98.3,82,40,2.71
2023,987,Iowa St.,6,64,29,0.8481,26,0.8936,35,113.9,94,100.7,,13.2,81,0.6882,124,79.48,17,83.63,11,18,-4.15
2023,986,Kansas,1,32,8,0.934,9,0.9433,104,106.4,199,104.2,,2.2,195,0.5487,20,92.08,5,78.42,6,10,13.66
2023,985,Kansas St.,3,8,32,0.8455,32,0.8891,58,111.7,196,106.6,,5.1,177,0.592,34,89.54,9,81.46,13,27,8.08
2023,984,Kennesaw St.,14,64,116,0.6998,100,0.8235,71,108.1,177,102.9,,5.2,158,0.5899,135,78.19,104,95.56,109,128,-17.37
2023,983,Kent St.,13,64,64,0.7972,54,0.8722,89,111.8,41,97.8,,14,149,0.5929,101,81.41,29,86.27,45,74,-4.86
2023,982,Kentucky,6,32,25,0.8612,43,0.8783,32,116.6,90,101.6,,15,114,0.6512,19,92.14,88,94.26,52,23,-2.12
2023,981,Louisiana Lafayette,13,64,95,0.7396,95,0.8287,88,110.3,43,97.2,,13.1,200,0.5843,57,86.5,136,98.37,106,92,-11.87
2023,980,Marquette,2,32,9,0.9321,4,0.9669,23,113.6,124,99.8,,13.8,169,0.5883,8,99.07,34,87.44,18,11,11.63
2023,979,Maryland,8,32,30,0.8467,27,0.8922,93,106.8,220,105,,1.8,240,0.5284,74,84.08,66,91.65,36,16,-7.57
2023,978,Memphis,8,64,11,0.913,10,0.9359,3,128.9,4,89.7,,39.2,48,0.7296,16,95.48,10,81.85,14,28,13.63
2023,977,Miami FL,5,4,26,0.8525,28,0.8915,7,122.6,22,96.6,,26,69,0.7257,12,96.43,118,96.83,78,47,-0.4
2023,976,Michigan St.,7,16,37,0.839,45,0.8769,40,113.5,21,94.2,,19.3,62,0.7266,73,84.08,69,91.87,42,30,-7.79
2023,975,Mississippi St.,11,68,58,0.8037,61,0.8649,7,120,47,95.9,,24.1,49,0.692,212,72.27,23,84.38,30,46,-12.11
2023,974,Missouri,7,32,45,0.8296,42,0.8783,7,121,6,88.1,,32.9,5,0.7905,7,99.96,132,98.13,85,54,1.83
2023,973,Montana St.,14,64,96,0.7384,96,0.8279,4,123,6,92.8,,30.2,18,0.7563,189,74.49,83,93.88,90,109,-19.39
2023,972,Nevada,11,68,67,0.7948,37,0.8837,9,122,39,95.8,,26.2,12,0.7586,83,83.1,64,91.57,48,42,-8.47
2023,971,North Carolina St.,11,64,33,0.8447,25,0.898,3,122.3,81,99.7,,22.6,4,0.763,24,90.57,67,91.65,61,59,-1.08
2023,970,Northern Kentucky,16,64,182,0.611,178,0.7275,2,125.3,33,94.7,,30.6,17,0.7418,278,67.45,221,104.94,197,160,-37.49
2023,969,Northwestern,7,32,31,0.846,21,0.9039,2,125.1,73,99.2,,25.9,7,0.7517,151,76.95,33,87.39,31,39,-10.44
