YEAR,TEAM NO,TEAM ID,TEAM,SEED,ROUND,CONF,CONF ID,SEED_PAKE,SEED_PAKE RANK,SEED_PASE,SEED_PASE RANK,SEED_GAMES,SEED_W,SEED_L,SEED_WIN%,SEED_R64,SEED_R32,SEED_S16,SEED_E8,SEED_F4,SEED_F2,SEED_CHAMP,SEED_TOP2,SEED_CHAMP%,PROG_PAKE,PROG_PAKE RANK,PROG_PASE,PROG_PASE RANK,PROG_GAMES,PROG_W,PROG_L,PROG_WIN%,PROG_R64,PROG_R32,PROG_S16,PROG_E8,PROG_F4,PROG_F2,PROG_CHAMP,PROG_TOP2,PROG_F4%,PROG_CHAMP%,CONF_PAKE,CONF_PAKE RANK,CONF_PASE,CONF_PASE RANK,CONF_GAMES,CONF_W,CONF_L,CONF_WIN%,CONF_R64,CONF_R32,CONF_S16,CONF_E8,CONF_F4,CONF_F2,CONF_CHAMP,CONF_TOP2,CONF_CHAMP%
2025,1095,192,St. John's,2,32,BE,8,-6.8,12,-9.9,15,202,139,63,0.688,64,57,41,26,11,3,1,64,0.9740000000000001,-1.3,201.0,-1.7,206.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.002,-0.6,19,-7.3,30,232,140,92,0.603,98,63,34,19,12,6,6,23,0.9520000000000001
2025,1094,199,Tennessee,2,8,SEC,28,-6.8,12,-9.9,15,202,139,63,0.688,64,57,41,26,11,3,1,64,0.9740000000000001,-2.0,215.0,-0.3,154.0,27.0,16.0,11.0,0.593,11.0,8.0,6.0,2.0,0.0,0.0,0.0,3.0,0.7509999999999999,0.239,2.7,6,4.4,6,193,111,82,0.575,83,51,30,19,8,2,1,14,0.879
2025,1093,200,Texas,11,68,SEC,28,15.3,2,15.7,1,122,58,64,0.475,64,32,16,6,4,0,0,0,0.11699999999999999,-5.6,240.0,-4.5,238.0,24.0,11.0,13.0,0.458,13.0,7.0,2.0,2.0,0.0,0.0,0.0,2.0,0.6579999999999999,0.171,2.7,6,4.4,6,193,111,82,0.575,83,51,30,19,8,2,1,14,0.879
2025,1092,201,Texas A&M,4,32,SEC,28,2.6,7,3.3,5,166,103,63,0.62,64,49,34,11,6,2,1,0,0.7440000000000001,0.4,65.0,0.5,66.0,16.0,8.0,8.0,0.5,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.308,0.040999999999999995,2.7,6,4.4,6,193,111,82,0.575,83,51,30,19,8,2,1,14,0.879
2025,1091,204,Texas Tech,3,8,B12,7,6.6,3,4.3,3,185,122,63,0.659,64,56,38,19,5,3,1,0,0.794,0.9,42.0,2.7,22.0,17.0,11.0,6.0,0.647,6.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.555,0.195,-11.3,31,-15.9,32,239,139,100,0.582,103,70,34,20,7,5,3,22,0.956
2025,1090,205,Troy,14,64,SB,26,-6.9,13,-2.3,12,72,8,64,0.111,64,8,0,0,0,0,0,0,0.005,-0.1,105.0,-0.1,110.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,8,1.4,10,20,5,15,0.25,15,4,1,0,0,0,0,0,0.002
2025,1089,256,UC San Diego,12,64,BW,11,4.0,5,2.6,6,99,35,64,0.354,64,26,8,1,0,0,0,0,0.045,,,,,,,,,,,,,,,,,,,-1.4,23,-0.8,23,18,2,16,0.111,16,2,0,0,0,0,0,0,0.002
2025,1088,212,UCLA,7,32,B10,6,3.2,6,2.6,7,123,60,63,0.488,64,39,12,4,3,1,1,0,0.217,4.5,10.0,5.1,8.0,30.0,20.0,10.0,0.667,10.0,9.0,7.0,2.0,2.0,0.0,0.0,2.0,0.7490000000000001,0.263,1.5,10,4.5,5,250,146,104,0.584,104,76,39,16,10,5,0,20,0.924
2025,1087,216,UNC Wilmington,14,64,CAA,12,-6.9,13,-2.3,12,72,8,64,0.111,64,8,0,0,0,0,0,0,0.005,-0.7,176.0,-0.8,177.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.2,16,0.1,16,25,7,18,0.28,18,4,1,1,1,0,0,0,0.011000000000000001
2025,1086,221,Utah St.,10,64,MWC,20,-8.5,14,-2.6,13,100,36,64,0.36,64,25,7,3,1,0,0,0,0.134,-3.9,235.0,-3.4,232.0,8.0,1.0,7.0,0.125,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.015,-12.5,32,-15.6,31,65,23,42,0.354,42,14,6,1,1,1,0,1,0.185
